date,facility,infant_deaths
July 2010,War Memorial Hospital,1
August 2010,Bawku Presby Hospital,4
August 2010,Zebilla Hospital,1
August 2010,"Regional Hospital, Bolgatanga",4
August 2010,Bongo Hospital,1
August 2010,Sandema Hospital,1
August 2010,War Memorial Hospital,6
September 2010,Bawku Presby Hospital,1
September 2010,Zebilla Hospital,0
September 2010,"Regional Hospital, Bolgatanga",1
September 2010,Bongo Hospital,0
September 2010,Sandema Hospital,0
September 2010,War Memorial Hospital,7
October 2010,Bawku Presby Hospital,3
October 2010,Zebilla Hospital,2
October 2010,"Regional Hospital, Bolgatanga",1
October 2010,Bongo Hospital,0
October 2010,Sandema Hospital,4
October 2010,War Memorial Hospital,2
November 2010,Bawku Presby Hospital,4
November 2010,Zebilla Hospital,1
November 2010,"Regional Hospital, Bolgatanga",0
November 2010,Bongo Hospital,3
November 2010,Sandema Hospital,1
November 2010,War Memorial Hospital,4
December 2010,Bawku Presby Hospital,4
December 2010,Zebilla Hospital,0
December 2010,"Regional Hospital, Bolgatanga",2
December 2010,Bongo Hospital,0
December 2010,Sandema Hospital,2
December 2010,War Memorial Hospital,2
January 2011,Bawku Presby Hospital,2
January 2011,Zebilla Hospital,3
January 2011,"Regional Hospital, Bolgatanga",0
January 2011,Bongo Hospital,0
January 2011,Sandema Hospital,2
January 2011,War Memorial Hospital,7
February 2011,Bawku Presby Hospital,6
February 2011,Zebilla Hospital,3
February 2011,"Regional Hospital, Bolgatanga",3
February 2011,Bongo Hospital,0
February 2011,Sandema Hospital,0
February 2011,War Memorial Hospital,2
March 2011,Bawku Presby Hospital,6
March 2011,Zebilla Hospital,5
March 2011,"Regional Hospital, Bolgatanga",2
March 2011,Bongo Hospital,1
March 2011,Sandema Hospital,1
March 2011,War Memorial Hospital,5
April 2011,Bawku Presby Hospital,4
April 2011,Zebilla Hospital,1
April 2011,"Regional Hospital, Bolgatanga",1
April 2011,Bongo Hospital,0
April 2011,Sandema Hospital,0
April 2011,War Memorial Hospital,1
May 2011,Bawku Presby Hospital,3
May 2011,Zebilla Hospital,0
May 2011,"Regional Hospital, Bolgatanga",3
May 2011,Bongo Hospital,0
May 2011,Sandema Hospital,2
May 2011,War Memorial Hospital,4
June 2011,Bawku Presby Hospital,4
June 2011,Zebilla Hospital,0
June 2011,"Regional Hospital, Bolgatanga",2
June 2011,Bongo Hospital,1
June 2011,Sandema Hospital,1
June 2011,War Memorial Hospital,5
July 2011,Bawku Presby Hospital,5
July 2011,Zebilla Hospital,2
July 2011,"Regional Hospital, Bolgatanga",1
July 2011,Bongo Hospital,1
July 2011,Sandema Hospital,0
July 2011,War Memorial Hospital,3
August 2011,Bawku Presby Hospital,7
August 2011,Zebilla Hospital,4
August 2011,"Regional Hospital, Bolgatanga",3
August 2011,Bongo Hospital,1
August 2011,Sandema Hospital,1
August 2011,War Memorial Hospital,3
September 2011,Bawku Presby Hospital,4
September 2011,Zebilla Hospital,0
